Texto,Sentimiento
En general no me impresionó mucho Noca.,0
Mi giroscopio era básicamente sólo de lechuga.,0
Un servicio terrible!,0
Totalmente decepcionado!,0
No me gusta mucho la pasta. pero me encantan las pastas caseras/manuales y las pizzas finas de aquí.,1
Pruébelo y se alegrará de haberlo hecho.,1
De lejos. los mejores quesos que hemos comido nunca!,1
También tiene un precio razonable!,1
Todo fue perfecto la noche que estuvimos.,1
La comida es muy buena para ser la típica comida de bar.,1
fue un viaje para llegar allí.,0
A primera vista es una encantadora panadería-cafetería - ambiente agradable personal limpio y amable.,1
De todas formas no creo que vuelva allí.,0
Señala con el dedo cualquier artículo del menú. pídelo y no te decepcionará.,1
Oh esto es una cosa de la belleza de este restaurante.,1
Si no ha ido aquí ¡vaya ahora!,1
Una comida grasienta y poco saludable.,0
primera vez allí y podría ser la última.,0
Esas hamburguesas estaban increíbles.,1
Asimismo. el repartidor no dijo ni una palabra de disculpa cuando nuestra comida llegó 45 minutos tarde.,0
Y era demasiado caro.,0
Asegúrate de pedir el postre aunque tengas que llevártelo para llevar: el tiramisú y los cannoli están de muerte.,1
Esta fue mi primera vez y no puedo esperar hasta la próxima.,1
El camarero también era agradable.,1
Todo estaba bueno y sabroso!,1
Este lugar es dos pulgares arriba....way arriba.,1
El mejor lugar de Las Vegas para desayunar (sólo hay que ver un sábado o un domingo,1
Si te gusta la auténtica comida mexicana y quieres un montón de carnes interesantes pero deliciosas para elegir. tienes que probar este lugar.,1
Una gestión terrible.,0
Un nuevo y excelente restaurante de un francés experimentado.,1
Si hubiera cero estrellas le daría cero estrellas.,0
Gran bistec grandes lados gran vino postres increíbles.,1
¡El peor martini de la historia!,0
El bistec y las gambas son. en mi opinión. los mejores entrantes de GC.,1
Hoy he tenido la oportunidad de probar sus increíbles pizzas!,1
Esperamos treinta minutos para sentarnos (aunque había 8 mesas libres y éramos los únicos esperando).,0
El carpaccio de rabo amarillo se derretía en la boca.,1
No intentaré volver allí aunque esté vacío.,0
No me voy a comer la patata que me he encontrado pelos de desconocidos en ella.,0
Lo suficientemente picante... Perfecto en realidad.,1
Anoche era la segunda vez que cenaba aquí y estaba tan contenta que decidí volver!,1
"ni siquiera un ""hola estaremos enseguida con usted"",0
Los postres eran un poco extraños.,0
Mi novio y yo vinimos aquí por primera vez en un reciente viaje a Las Vegas y no podríamos haber estado más satisfechos con la calidad de la comida y el servicio.,1
Realmente recomiendo este lugar. puedes equivocarte con este lugar de donas!,1
Buen ambiente.,1
Yo recomendaría guardar espacio para esto!,1
Supongo que tal vez fuimos en una noche mala pero fue vergonzoso.,0
Sin embargo. mi experiencia reciente en este lugar en particular no fue tan buena.,0
Sé que esto no es como los otros restaurantes en absoluto algo está muy apagado aquí!,0
EVITE ESTE ESTABLECIMIENTO!,0
Creo que este restaurante sufre por no esforzarse lo suficiente.,0
Todos los platos de tapas estaban deliciosos!,1
Me encanta este lugar.,1
Mi ensalada tenía una vinagreta insípida sobre las verduritas y los palmitos.,0
Después de dos me sentí asqueroso.,0
Un buen momento!,1
Creo que este lugar es una gran parada para los que tienen una gran barriga y ganas de sushi.,1
Porciones generosas y gran sabor.,1
Nunca volveré a este lugar y nunca recomendaré este lugar a nadie!,0
"Los servidores fueron de un lado a otro varias veces sin siquiera un ""¿Te están ayudando?"",0
La comida estaba deliciosa!,1
UNA HORA... ¿en serio?,0
Considero esto un robo.,0
Eew... Este lugar necesita una revisión completa.,0
Recientemente hemos sido testigos de su mala calidad de gestión hacia otros huéspedes también.,0
Esperé y esperé y esperé.,0
Además volvió a comprobar cómo estábamos con regularidad. un servicio excelente.,1
Nuestro camarero fue súper amable y nos controló muchas veces.,1
La pizza tenía un sabor viejo y súper masticable en una forma no muy buena.,0
Entré para darles una oportunidad pero me decepcionó profundamente.,0
El servicio fue bueno y la empresa mejor!,1
El personal también es muy amable y eficiente.,1
En cuanto al servicio: Soy un fanático porque es rápido y te atienden unas personas amables.,1
¡¡¡Estaba seco!!!,0
Sobrevalorado.,0
Si buscas auténtica comida tailandesa vete a otro sitio.,0
Sus filetes son 100% recomendables!,1
Después de subir mi coche esperé otros 15 minutos antes de ser reconocido.,0
Gran comida y gran servicio en un entorno limpio y agradable.,1
Con todo. puedo asegurar que volveré.,1
Odio esas cosas tanto como las aceitunas negras de calidad barata.,0
Mi desayuno fue preparado de forma estupenda con una hermosa presentación de 3 rebanadas gigantes de pan tostado ligeramente espolvoreado con azúcar en polvo.,1
La zona de juegos de los niños es asquerosa!,0
Gran lugar para llevar a cabo o comer en.,1
La camarera era amable y estaba dispuesta a adaptarse a las opciones veganas/vegetarianas.,1
OMG sentí que nunca había comido comida tailandesa hasta este plato.,1
Era extremadamente deleznable y bastante insípido,0
Era un color pálido en lugar de agradable y char y no tiene ningún sabor.,0
Los picatostes también saben a casero. lo que es un plus extra.,1
Llegué a casa para ver las malditas alas más secas de la historia!,0
Será una parada habitual en mis viajes a Phoenix!,1
"Disfruté mucho de Crema Café antes de que se expandieran. incluso les dije a mis amigos que tenían el MEJOR desayuno",1
No es bueno para el dinero.,0
Nos sentaron bastante rápido pero acabamos esperando 40 minutos sólo para hacer nuestro pedido otros 30 minutos antes de que llegara la comida.,0
No se puede pedir una comida más satisfactoria.,1
La comida es buena.,1
Fue impresionante.,1
Sólo quería irme.,0
Hicimos el camino desde el norte de Scottsdale... y no me decepcionó ni un poco!,1
Horrible a comer allí.,0
.... LOS PROPIETARIOS REALMENTE NECESITAN DEJAR TACAÑOS DEJAR QUE ENVUELVAN MI MISMO SÁNDICHO EN DOS PAPELES. NO EN UNO.,0
Comprobé este lugar hace un par de años y no me impresionó.,0
El pollo que me dieron era definitivamente recalentado y sólo estaba bien las cuñas estaban frías y empapadas.,0
Lo siento no voy a conseguir comida de aquí pronto :(,0
Una visita obligada!,1
Los tacos de lengua de vaca y carrillada son increíbles.,1
A mi amigo no le gustó su Bloody Mary.,0
A pesar de la dureza con la que califico a las empresas. es raro que les dé una estrella.,0
Realmente quieren que su experiencia sea buena.,1
Horrible.,0
Tuve el pollo Pho y sabía muy soso.,0
Muy decepcionante!!!,0
El pollo a la parrilla estaba tan tierno y amarillo por el condimento de azafrán.,1
un drive thru significa que no quieres esperar media hora por tu comida pero de alguna manera cuando terminamos yendo aquí nos hacen esperar y esperar.,0
Un lugar bastante impresionante.,1
El ambiente es perfecto.,1
La mejor de las suertes para la nueva dirección. maleducada y sin vocación de servicio al cliente.,0
Cualquier abuela puede hacer un pollo asado mejor que este.,0
Pregunté varias veces por la carta de vinos y después de un tiempo de ser ignorado me dirigí a la anfitriona y conseguí uno yo mismo.,0
El personal es siempre muy amable y servicial. lo que es especialmente bueno cuando llevas dos niños pequeños y un bebé!,1
Cuatro estrellas para la comida y el chico de la camisa azul por su gran ambiente y por dejarnos entrar a comer!,1
¡El sándwich de carne asada estaba muy bueno!,1
La misma tarde él y yo estamos drásticamente enfermos.,0
Pollo de alta calidad en la ensalada César de pollo.,1
Ordenado hamburguesa rara  hecho.,0
Nos recibieron rápidamente y nos sentaron.,1
Traté de ir aquí para el almuerzo y era una casa de locos.,0
Este bar de sushi me demostró que estaba muy equivocado. no sólo porque la calidad es estupenda. sino que el servicio es rápido y la comida impecable.,1
Después de esperar una hora y estar sentado no estaba de muy buen humor.,0
Esta es una buena junta.,1
Los Macarons aquí son increíblemente buenos.,1
¡No voy a comer aquí!,0
Nuestro camarero fue muy atento amable e informativo.,1
Tal vez si no estuvieran fríos habrían sido algo comestibles.,0
Este lugar promete mucho pero no cumple con lo prometido.,0
Muy mala experiencia!,0
Qué error.,0
Gran comida.,1
No volveremos pronto!,0
Muy muy decepcionado pidió el Big Bay Plater de 35 dólares.,0
Gran lugar para relajarse y tener una hamburguesa impresionante y cerveza.,1
Es PERFECTO para una comida familiar sentada o para reunirse con algunos amigos.,1
No tienen mucho sabor y están muy mal construidos.,0
Los asientos del patio eran muy cómodos.,1
El arroz frito también estaba seco.,0
Sin duda mi restaurante italiano favorito!,1
"Estuvo hermoso",1
No fue una experiencia divertida.,1
El ambiente fue estupendo. con un encantador dúo de violinistas que tocaron las canciones que pedimos.,1
Personalmente. me encanta (¡es increíble lo que hacen con la berenjena!).,1
Muy conveniente ya que nos alojamos en el MGM!,1
Los propietarios son súper amables y el personal es cortés.,1
¡Ambas cosas son geniales!,1
Selección ecléctica.,1
Los tots de boniato estaban buenos pero los aros de cebolla eran la perfección o lo más parecido que he tenido.,1
El personal fue muy atento.,1
Y el chef fue generoso con su tiempo (incluso se acercó dos veces para que pudiéramos hacernos fotos con él).,1
El propietario solía trabajar en Nobu así que este lugar es realmente similar por la mitad del precio.,1
Busca en Google mediocre y me imagino que aparecerá Smashburger.,0
no vayas aquí.,0
Te prometo que no te decepcionarán.,1
Como un amante del sushi evitar este lugar por todos los medios.,0
¡Qué gran hamburguesa doble con queso!,1
Servicio y comida impresionantes.,1
Una fantástica joya de barrio !!!,1
No puedo esperar a volver.,1
Le faltaba sabor. parecía poco hecho y seco. ,0
Es realmente impresionante que el lugar no haya cerrado. ,0
Yo evitaría este lugar si te alojas en el Mirage. ,0
Los frijoles refritos que venían con mi comida estaban secos y crujientes y la comida estaba insípida. ,0
Gasta tu dinero y tu tiempo en otro sitio. ,0
Una señora en la mesa de al lado encontró una oruga verde viva en su ensalada. ,0
la presentación de la comida era horrible. ,0
No puedo decir lo decepcionado que estaba. ,0
Creo que la comida debe tener sabor y textura y ambas cosas faltaron. ,0
El apetito desaparece al instante. ,0
En general no me impresionó y no volvería. ,0
Toda la experiencia fue decepcionante y creo que la próxima vez iremos a Ninja Sushi. ,0
Luego. como si no hubiera desperdiciado suficiente tiempo de mi vida allí. echaron sal en la herida al alargar el tiempo que se tardó en traer el cheque. ,0
¿Cómo puedes llamarte a ti mismo un asador si no puedes cocinar correctamente un bistec que no entiendo! ,0
No me impresiona el concepto ni la comida. ,0
Lo unico que no me gusta demasiado fue su guacamole ya que no me gusta en pure. ,0
Realmente no hay nada para mi en postinos espero que tu experiencia sea mejor ,0
Me intoxiqué con comida aquí en el buffet. ,0
Trajeron un lote fresco de papas fritas y yo estaba pensando yay algo caliente pero no! ,0
Lo que debería haber sido una divertidísima y deliciosa cena de Nochebuena para recordar fue el mayor fracaso de todo el viaje para nosotros. ,0
No hace falta decir que Horrible pronto. ,0
No te molestes en venir aquí. ,0
La carne estaba bastante seca yo tenía la falda en rodajas y el cerdo tirado. ,0
"El edificio en sí parece bastante cuidado. el baño es bastante triposo pero no volvería a comer aquí" ,0
Fue igual de horrible. ,0
Probablemente no tenga prisa por volver. ,0
muy lentos en los asientos incluso con reserva. ,0
No es bueno ni mucho menos. ,0
La salsa de crema de anacardos estaba sosa y las verduras poco hechas. ,0
La salsa de rancho chipolte era insípida parecía delgada y aguada sin calor. ,0
Era un poco demasiado dulce. no lo suficientemente picante y le faltaba sabor. ,0
Me decepcionó mucho!! ,0
Este lugar es horrible y muy sobrevalorado. ,0
Tal vez es sólo su comida vegetariana. pero he estado dos veces y pensé que era promedio en el mejor. ,0
No estaba ocupado en absoluto y ahora sabemos por qué. ,0
Las mesas de fuera también están sucias la mayor parte del tiempo y los trabajadores no siempre son amables y serviciales con el menú. ,0
El ambiente aquí no se sentía como un entorno de buffet. sino más bien como un jardín interior para el té y las galletas. ,0
Contra: servicio irregular. ,0
Las patatas fritas no estaban calientes y mi hamburguesa tampoco. ,0
Pero luego volvieron fríos. ,0
Luego salió nuestra comida y la decepción se hizo presente. ,0
La verdadera decepción fue nuestro camarero. ,0
Mi marido dijo que fue muy grosera... ni siquiera se disculpó por la mala comida ni nada. ,0
La única razón para comer aquí sería para llenarse antes de una noche de borrachera sólo para obtener algunos carbohidratos en el estómago. ,0
Insultos profundos deuchebaggery y tuvo que salir a fumar mientras servía sólo para solidificarla. ,0
Si alguien pide dos tacos ¿no crees que puede ser parte del servicio al cliente preguntar si es combo o a la carta? ,0
Estaba bastante decepcionada aunque hay que echarle algo de culpa a ella. ,0
Después de todas las críticas favorables no podía esperar a comer aquí...... ¡qué decepción! ,0
Del Taco es bastante desagradable y debe evitarse si es posible. ,0
NO es difícil hacer una hamburguesa decente. ,0
Pero no me gusta. ,0
Horrible. ,0
